time,pressure_pa,temp_c,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
3612696,104637.1328125,26.278602600097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3633386,0.0,0.0,5.599999904632568,2.5199999809265137,2.5199999809265137,-0.01756799966096878,0.021959999576210976,0.9494040012359619,-9.464000701904297,26.880001068115234,-47.89400100708008
3633947,103715.6015625,26.31829071044922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3635111,0.0,0.0,5.599999904632568,2.450000047683716,2.6600000858306885,-0.021959999576210976,0.024156000465154648,0.9508680105209351,-9.3100004196167,27.398000717163086,-48.24400329589844
3636790,103719.9375,26.267578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3637712,0.0,0.0,5.599999904632568,2.450000047683716,2.5899999141693115,-0.01756799966096878,0.024887999519705772,0.9574559926986694,-9.576000213623047,26.852001190185547,-47.79600143432617
3639378,0.0,0.0,5.53000020980835,2.5199999809265137,2.5199999809265137,-0.01756799966096878,0.023423999547958374,0.95306396484375,0.0,0.0,0.0
3641511,0.0,0.0,5.460000038146973,2.5899999141693115,2.309999942779541,-0.01756799966096878,0.024887999519705772,0.9545279741287231,-9.156000137329102,27.48200035095215,-48.30000305175781
3643645,0.0,0.0,5.25,2.6600000858306885,2.0999999046325684,-0.012443999759852886,0.028547998517751694,0.9545279741287231,-9.631999969482422,27.034000396728516,-47.880001068115234
3644822,103716.3359375,26.276397705078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3645778,0.0,0.0,5.389999866485596,2.380000114440918,2.1700000762939453,-0.014639999717473984,0.020495999604463577,0.9574559926986694,-9.702000617980957,27.216001510620117,-47.72600173950195
3647912,0.0,0.0,5.460000038146973,2.380000114440918,2.309999942779541,-0.012443999759852886,0.02781599946320057,0.9552599787712097,-9.67400074005127,27.160001754760742,-47.64200210571289
3650045,0.0,0.0,5.320000171661377,2.240000009536743,2.1700000762939453,-0.014639999717473984,0.024156000465154648,0.9545279741287231,-9.324000358581543,27.30000114440918,-47.71200180053711
3652178,0.0,0.0,5.25,2.0999999046325684,2.380000114440918,-0.010979999788105488,0.030743999406695366,0.95306396484375,-9.366000175476074,27.202001571655273,-47.44600296020508
3652856,103716.4296875,26.276397705078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3654312,0.0,0.0,5.460000038146973,2.1700000762939453,2.6600000858306885,-0.00878399983048439,0.03147599846124649,0.9603840112686157,-9.450000762939453,27.18800163269043,-47.3900032043457
3656445,0.0,0.0,5.740000247955322,2.380000114440918,2.6600000858306885,-0.008051999844610691,0.02635199949145317,0.9523319602012634,-9.618000030517578,27.45400047302246,-47.57200241088867
3658578,0.0,0.0,5.670000076293945,2.380000114440918,2.309999942779541,-0.006587999872863293,0.023423999547958374,0.958187997341156,-9.534000396728516,27.59400177001953,-47.263999938964844
3660712,0.0,0.0,5.740000247955322,2.450000047683716,1.9600000381469727,-0.016103999689221382,0.03147599846124649,0.9574559926986694,-9.534000396728516,27.3700008392334,-47.41800308227539
3661273,103718.296875,26.307266235351562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3662845,0.0,0.0,5.949999809265137,2.5199999809265137,2.0999999046325684,-0.013907999731600285,0.027084000408649445,0.95306396484375,-9.435999870300293,27.18800163269043,-47.46000289916992
3664985,0.0,0.0,5.670000076293945,2.380000114440918,2.309999942779541,-0.010979999788105488,0.01903199963271618,0.9508680105209351,-9.42199993133545,26.93600082397461,-48.272003173828125
3667138,0.0,0.0,5.670000076293945,2.450000047683716,2.309999942779541,-0.010979999788105488,0.025619998574256897,0.9501360058784485,-9.450000762939453,26.600000381469727,-47.62800216674805
3669245,0.0,0.0,5.53000020980835,2.6600000858306885,2.450000047683716,-0.011711999773979187,0.01903199963271618,0.9515999555587769,-9.435999870300293,27.131999969482422,-47.68400192260742
3669806,103719.484375,26.267578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3671379,0.0,0.0,5.460000038146973,2.5199999809265137,2.450000047683716,-0.00951599981635809,0.027084000408649445,0.9559919834136963,-9.730000495910645,27.538000106811523,-46.522003173828125
3673512,0.0,0.0,5.320000171661377,2.5199999809265137,2.450000047683716,-0.011711999773979187,0.024887999519705772,0.9574559926986694,-9.211999893188477,27.426000595092773,-48.13199996948242
3675645,0.0,0.0,5.53000020980835,2.450000047683716,2.5899999141693115,-0.016103999689221382,0.02635199949145317,0.9479399919509888,-9.366000175476074,27.3700008392334,-47.62800216674805
3676958,103716.3359375,26.26978302001953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3677880,0.0,0.0,5.53000020980835,2.1700000762939453,2.380000114440918,-0.015371999703347683,0.024887999519705772,0.9515999555587769,-9.67400074005127,27.804000854492188,-48.11800003051758
3679912,0.0,0.0,5.599999904632568,2.240000009536743,2.380000114440918,-0.02122800052165985,0.023423999547958374,0.9567239880561829,-9.54800033569336,27.52400016784668,-47.124000549316406
3682045,0.0,0.0,5.670000076293945,2.5899999141693115,2.6600000858306885,-0.016103999689221382,0.03001200035214424,0.9523319602012634,-9.296000480651855,27.006000518798828,-46.32600021362305
3684179,0.0,0.0,5.389999866485596,2.450000047683716,2.5199999809265137,-0.013907999731600285,0.025619998574256897,0.9545279741287231,-9.072000503540039,27.678001403808594,-47.29199981689453
3684991,103716.359375,26.278602600097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
