time,logged_time,pressure_pa,temp_c,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
1204647,0,104348.265625,25.52783203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1206215,0,0.0,0.0,5.389999866485596,2.309999942779541,1.8899999856948853,0.003659999929368496,0.0226919986307621,0.9515999555587769,1.0080000162124634,-0.21000000834465027,-48.17399978637695
1210090,0,0.0,0.0,5.179999828338623,2.5899999141693115,2.0299999713897705,0.0021959999576210976,0.030743999406695366,0.9464759826660156,0.0,0.0,0.0
1214000,0,103424.1015625,25.50909423828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1215568,0,0.0,0.0,5.389999866485596,2.5199999809265137,2.450000047683716,0.0029279999434947968,0.027084000408649445,0.9545279741287231,1.0080000162124634,0.3360000252723694,-48.73400115966797
1218643,0,0.0,0.0,5.389999866485596,2.5199999809265137,2.309999942779541,0.0029279999434947968,0.024887999519705772,0.9442799687385559,0.0,0.0,0.0
1222056,0,103422.1953125,25.514602661132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1227198,0,0.0,0.0,5.460000038146973,2.380000114440918,2.1700000762939453,0.0029279999434947968,0.024887999519705772,0.9435479640960693,0.9800000190734863,0.30799999833106995,-48.48200225830078
1230673,0,103423.9609375,25.503585815429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1232241,0,0.0,0.0,5.670000076293945,2.1700000762939453,2.5199999809265137,0.0021959999576210976,0.03294000029563904,0.9479399919509888,0.0,0.0,0.0
1238057,0,103424.0078125,25.503585815429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1239682,0,0.0,0.0,5.179999828338623,2.380000114440918,2.0999999046325684,0.003659999929368496,0.03440399840474129,0.9472079873085022,1.7080000638961792,-0.18200001120567322,-49.406002044677734
1242757,0,0.0,0.0,5.25,2.450000047683716,2.0999999046325684,0.003659999929368496,0.027084000408649445,0.945743978023529,0.0,0.0,0.0
1251707,0,103425.203125,25.47271728515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1253275,0,0.0,0.0,5.389999866485596,2.309999942779541,2.309999942779541,0.0029279999434947968,0.024887999519705772,0.9501360058784485,1.624000072479248,-0.23800000548362732,-49.30800247192383
1257149,0,0.0,0.0,5.320000171661377,2.450000047683716,2.1700000762939453,0.0058559998869895935,0.03001200035214424,0.9508680105209351,0.0,0.0,0.0
1259763,0,103423.5078125,25.536651611328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1264650,0,0.0,0.0,5.320000171661377,2.450000047683716,2.309999942779541,0.004391999915242195,0.027084000408649445,0.9450119733810425,1.652000069618225,0.02800000086426735,-48.272003173828125
1268125,0,103423.0078125,25.536651611328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1269693,0,0.0,0.0,5.389999866485596,2.6600000858306885,2.309999942779541,0.004391999915242195,0.028547998517751694,0.9472079873085022,0.0,0.0,0.0
1275762,0,103424.1953125,25.522323608398438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1277331,0,0.0,0.0,5.389999866485596,2.450000047683716,2.1700000762939453,0.005123999901115894,0.030743999406695366,0.9501360058784485,1.0080000162124634,0.14000000059604645,-49.1400032043457
1281205,0,0.0,0.0,5.460000038146973,2.7300000190734863,1.8899999856948853,0.0021959999576210976,0.03001200035214424,0.9523319602012634,0.0,0.0,0.0
1283819,0,103426.4296875,25.503585815429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1289626,0,0.0,0.0,5.389999866485596,2.450000047683716,2.5199999809265137,0.0029279999434947968,0.023423999547958374,0.9515999555587769,1.3720000982284546,-0.6579999923706055,-48.454002380371094
1293100,0,103423.84375,25.503585815429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1294669,0,0.0,0.0,5.670000076293945,2.7300000190734863,2.380000114440918,0.0029279999434947968,0.0226919986307621,0.9464759826660156,0.0,0.0,0.0
1302211,0,103424.0078125,25.503585815429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1303779,0,0.0,0.0,5.460000038146973,2.240000009536743,2.0299999713897705,0.0058559998869895935,0.029279999434947968,0.945743978023529,1.8480000495910645,-0.2939999997615814,-47.544002532958984
1306855,0,0.0,0.0,5.389999866485596,2.1700000762939453,2.0299999713897705,0.0021959999576210976,0.02635199949145317,0.9420839548110962,0.0,0.0,0.0
1310268,0,103423.84375,25.503585815429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1314600,0,0.0,0.0,5.53000020980835,2.450000047683716,2.380000114440918,0.0029279999434947968,0.030743999406695366,0.9428159594535828,1.3440001010894775,-0.2939999997615814,-47.544002532958984
1318075,0,103420.609375,25.52783203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1319643,0,0.0,0.0,5.599999904632568,2.5899999141693115,2.0999999046325684,0.004391999915242195,0.021959999576210976,0.9523319602012634,0.0,0.0,0.0
1326274,0,103424.2734375,25.503585815429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1327842,0,0.0,0.0,5.110000133514404,2.7300000190734863,2.1700000762939453,0.0029279999434947968,0.028547998517751694,0.9501360058784485,1.4280000925064087,0.47600001096725464,-47.37600326538086
